Price,Brand,Model,Cores,Threads,Socket Type,Base Speed,Turbo Speed,Integrated Graphics,Memory Generation,Memory Speed,Link
574,Intel,Core i9-14900KF,24,32,LGA 1700,3.2,6,None,DDR5,5600,https://amazon.com/dp/B0CGJDBCTK?tag=pcbuilder00-20
599,Intel,Core i9-14900K,24,32,LGA 1700,3.2,6,Intel UHD Graphics 770,DDR5,5600,https://amazon.com/dp/B0CGJDKLB8?tag=pcbuilder00-20
419,Intel,Core i7-14700K,20,28,LGA 1700,3.4,5.6,Intel UHD Graphics 770,DDR5,5600,https://amazon.com/dp/B0CGJ41C9W?tag=pcbuilder00-20
394,Intel,Core i7-14700KF,20,28,LGA 1700,3.4,5.6,None,DDR5,5600,https://amazon.com/dp/B0CGJC178L?tag=pcbuilder00-20
695.04,AMD,Ryzen 9 7950X,16,32,AM5,4.5,5.7,Radeon,DDR5,5200,https://amazon.com/dp/B0BBHD5D8Y?tag=pcbuilder00-20
439.99,AMD,Ryzen 9 7900X,12,24,AM5,4.7,5.6,Radeon,DDR5,5200,https://amazon.com/dp/B0BBJ59WJ4?tag=pcbuilder00-20
574,Intel,Core i9-13900KF,24,32,LGA 1700,3,5.8,None,DDR5,5600,https://amazon.com/dp/B0BCFM3CJ4?tag=pcbuilder00-20
641.92,Intel,Core i9-13900K,24,32,LGA 1700,3,5.8,Intel UHD Graphics 770,DDR5,5600,https://amazon.com/dp/B0BCF54SR1?tag=pcbuilder00-20
436.99,Intel,Core i7-13700K,16,24,LGA 1700,3.4,5.4,Intel UHD Graphics 770,DDR5,5600,https://amazon.com/dp/B0BCF57FL5?tag=pcbuilder00-20
341.48,AMD,Ryzen 9 5900X,12,24,AM4,3.7,4.8,None,DDR4,3200,https://amazon.com/dp/B08164VTWH?tag=pcbuilder00-20
479,Intel,Core i9-12900K,16,24,LGA 1700,3.2,5.2,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09FXDLX95?tag=pcbuilder00-20
234,AMD,Ryzen 7 5800X,8,16,AM4,3.8,4.7,None,DDR4,3200,https://amazon.com/dp/B0815XFSGK?tag=pcbuilder00-20
178.61,AMD,Ryzen 7 5700G,8,16,AM4,3.8,4.6,Radeon Vega 8,DDR4,3200,https://amazon.com/dp/B091J3NYVF?tag=pcbuilder00-20
158.98,AMD,Ryzen 5 5600X,6,12,AM4,3.7,4.6,None,DDR4,3200,https://amazon.com/dp/B08166SLDF?tag=pcbuilder00-20
110.16,AMD,Ryzen 5 5600G,6,12,AM4,3.9,4.4,Radeon,DDR4,3200,https://amazon.com/dp/B092L9GF5N?tag=pcbuilder00-20
4355,AMD,Ryzen Threadripper 3990X,64,128,sTRX4,2.9,4.3,None,DDR4,3200,https://amazon.com/dp/B0815SBQ9W?tag=pcbuilder00-20
2040,AMD,Ryzen Threadripper 3970X,32,64,sTRX4,3.7,4.5,None,DDR4,3200,https://amazon.com/dp/B0815JJQQ8?tag=pcbuilder00-20
619.99,AMD,Ryzen 9 7950X3D,16,32,AM5,4.2,5.7,AMD Radeon,DDR5,5200,https://amazon.com/dp/B0BTRH9MNS?tag=pcbuilder00-20
1393.90,AMD,Ryzen Threadripper 3960X,24,48,sTRX4,3.8,4.5,None,DDR4,3200,https://amazon.com/dp/B0815JGCXP?tag=pcbuilder00-20
489.99,AMD,Ryzen 9 7900X3D,12,24,AM5,4.4,5.6,AMD Radeon,DDR5,5200,https://amazon.com/dp/B0BTRRNK7T?tag=pcbuilder00-20
429,AMD,Ryzen 9 7900,12,24,AM5,3.6,5.4,AMD Radeon,DDR5,5200,https://amazon.com/dp/B0BMQK718H?tag=pcbuilder00-20
559.2,AMD,Ryzen 9 5950X,16,32,AM4,3.4,4.9,None,DDR4,3200,https://amazon.com/dp/B0815Y8J9N?tag=pcbuilder00-20
532.14,Intel,Core i9-12900KS,16,24,LGA 1700,3.4,5.4,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09RWL74GY?tag=pcbuilder00-20
309.8,Intel,Core i5-13600KF,14,20,LGA 1700,3.5,5.1,None,DDR5,5600,https://amazon.com/dp/B0BCF5CZ16?tag=pcbuilder00-20
319.97,Intel,Core i5-13600K,14,20,LGA 1700,3.5,5.1,Intel UHD Graphics 770,DDR5,5600,https://amazon.com/dp/B0BCDR9M33?tag=pcbuilder00-20
525,AMD,Ryzen 9 3950X,16,32,AM4,3.5,4.7,None,DDR4,3200,https://amazon.com/dp/B07ZTYKLZW?tag=pcbuilder00-20
365,AMD,Ryzen 9 3900X,12,24,AM4,3.8,4.6,None,DDR4,3200,https://amazon.com/dp/B07SXMZLP9?tag=pcbuilder00-20
397.99,Intel,Core i7-13700KF,16,24,LGA 1700,3.4,5.4,None,DDR5,5600,https://amazon.com/dp/B0BCDL7F5W?tag=pcbuilder00-20
523.99,Intel,Core i9-12900F,16,24,LGA 1700,2.4,5.1,N/A,DDR5,4800,https://amazon.com/dp/B09RPNW7CM?tag=pcbuilder00-20
429.99,Intel,Core i9-12900KF,16,24,LGA 1700,3.2,5.2,None,DDR5,4800,https://amazon.com/dp/B09FWYK5M9?tag=pcbuilder00-20
348.99,AMD,Ryzen 7 7700X,8,16,AM5,4.5,5.4,Radeon,DDR5,5200,https://amazon.com/dp/B0BBHHT8LY?tag=pcbuilder00-20
543.93,Intel,Core i9-12900,16,24,LGA 1700,2.4,5.1,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09RPF28CG?tag=pcbuilder00-20
295,AMD,Ryzen 7 7700,8,16,AM5,3.6,5.3,Radeon,DDR5,5200,https://amazon.com/dp/B0BMQHSCVF?tag=pcbuilder00-20
363,AMD,AMD Ryzen 7 7800X3D,8,16,AM5,4.2,5,AMD Radeon,DDR5,5200,https://amazon.com/dp/B0BTZB7F88?tag=pcbuilder00-20
304,Intel,Core i5-14600KF,14,20,LGA 1700,3.5,5.3,None,DDR5,5600,https://amazon.com/dp/B0CGJ4MLC8?tag=pcbuilder00-20
329,Intel,Core i5-14600K,14,20,LGA 1700,3.5,5.3,Intel UHD Graphics 770,DDR5,5600,https://amazon.com/dp/B0CGJ9STNF?tag=pcbuilder00-20
1010,Intel,Core i9-10980XE,18,36,LGA 2066,3,4.8,None,DDR4,2933,https://amazon.com/dp/B08DG2HRJN?tag=pcbuilder00-20
755,AMD,Ryzen 9 3900XT,12,24,AM4,3.8,4.7,None,DDR4,3200,https://amazon.com/dp/B089WD454D?tag=pcbuilder00-20
299,Intel,Core i7-12700F,12,20,LGA 1700,2.1,4.9,None,DDR5,4800,https://amazon.com/dp/B09NPJDPVG?tag=pcbuilder00-20
1445,Intel,Core i9-9980XE,18,36,LGA 2066,3,4.5,None,DDR4,2666,https://amazon.com/dp/B07JGCMQY8?tag=pcbuilder00-20
328.19,Intel,Core i7-12700,12,20,LGA 1700,2.1,4.9,Intel UHD Graphics 770,DDR5,4500,https://amazon.com/dp/B09NPHHSZ1?tag=pcbuilder00-20
2500,AMD,Ryzen Threadripper 2990WX,32,64,sTR4,3,4.2,None,DDR4,2933,https://amazon.com/dp/B07G25SD1P?tag=pcbuilder00-20
1600,Intel,Core i9-9960X,16,32,LGA 2066,3.1,4.5,None,DDR4,2666,https://amazon.com/dp/B07JDV1QDG?tag=pcbuilder00-20
299.99,Intel,Core i7-12700KF,12,20,LGA 1700,3.6,5,None,DDR4,4800,https://amazon.com/dp/B09FXKHN7M?tag=pcbuilder00-20
339.99,Intel,Core i7-12700K,12,20,LGA 1700,3.6,5,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09FXNVDBJ?tag=pcbuilder00-20
761.69,AMD,Ryzen Threadripper 2950X,16,32,sTR4,3.5,4.4,None,DDR4,2933,https://amazon.com/dp/B07GFN6CVF?tag=pcbuilder00-20
1200,Intel,Core i9-7980XE,18,36,LGA 2066,2.6,4.2,None,DDR4,2666,https://amazon.com/dp/B075XRYMDR?tag=pcbuilder00-20
883,Intel,Core i9-10940X,14,28,LGA 2066,3.3,4.8,None,DDR4,2933,https://amazon.com/dp/B07YP67PFV?tag=pcbuilder00-20
248.99,AMD,Ryzen 5 7600X,6,12,AM5,4.7,5.3,Radeon,DDR5,5200,https://amazon.com/dp/B0BBJDS62N?tag=pcbuilder00-20
319.99,AMD,AMD Ryzen 7 5800X3D,8,16,AM4,3.4,4.5,None,DDR4,3200,https://amazon.com/dp/B09VCJ2SHD?tag=pcbuilder00-20
970,Intel,Core i9-9940X,14,28,LGA 2066,3.3,4.5,None,DDR4,2666,https://amazon.com/dp/B07JFH771Y?tag=pcbuilder00-20
226.99,AMD,AMD Ryzen 5 7600,6,12,AM5,3.8,5.1,AMD Radeon,DDR5,5200,https://amazon.com/dp/B0BMQJWBDM?tag=pcbuilder00-20
760,Intel,Core i9-7960X,16,32,LGA 2066,2.8,4.2,None,DDR4,2666,https://amazon.com/dp/B075XRYMDS?tag=pcbuilder00-20
914.1,AMD,Ryzen Threadripper 1950X,16,32,sTR4,3.4,4,None,DDR4,2667,https://amazon.com/dp/B074CBH3R4?tag=pcbuilder00-20
169.99,AMD,AMD Ryzen 7 5700X,8,16,AM4,3.4,4.6,None,DDR4,3200,https://amazon.com/dp/B09VCHQHZ6?tag=pcbuilder00-20
620,Intel,Core i9-7940X,14,28,LGA 2066,3.1,4.3,None,DDR4,2666,https://amazon.com/dp/B076KXLR6K?tag=pcbuilder00-20
1129.99,AMD,Ryzen Threadripper 2970WX,24,48,sTR4,3,4.2,None,DDR4,2933,https://amazon.com/dp/B07JBQJ1D9?tag=pcbuilder00-20
779.83,Intel,Core i9-10920X,12,24,LGA 2066,3.5,4.8,None,DDR4,2933,https://amazon.com/dp/B07YP6Y9VY?tag=pcbuilder00-20
349.99,Intel,Core i9-11900K,8,16,LGA 1200,3.5,5.3,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X6PPTTH?tag=pcbuilder00-20
649,Intel,Core i9-9920X,12,24,LGA 2066,3.5,4.5,None,DDR4,2666,https://amazon.com/dp/B07JGCV5KN?tag=pcbuilder00-20
179.95,AMD,Ryzen Threadripper 2920X,12,24,sTR4,3.5,4.3,None,DDR4,2933,https://amazon.com/dp/B07JDF4QP2?tag=pcbuilder00-20
308,Intel,Core i7-11700K,8,16,LGA 1200,3.6,5,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X6ND3WP?tag=pcbuilder00-20
234.99,Intel,Core i5-12600KF,10,16,LGA 1700,3.7,4.9,None,DDR5,4800,https://amazon.com/dp/B09FXFJW2F?tag=pcbuilder00-20
369.98,Intel,Core i9-11900KF,8,16,LGA 1200,3.5,5.3,None,DDR4,3200,https://amazon.com/dp/B08X6KQSZ1?tag=pcbuilder00-20
237.98,Intel,Core i5-12600K,10,16,LGA 1700,3.7,4.9,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09FX4D72T?tag=pcbuilder00-20
299.99,AMD,Ryzen 7 3800XT,8,16,AM4,3.9,4.7,None,DDR4,3200,https://amazon.com/dp/B089WCXZJC?tag=pcbuilder00-20
366.99,Intel,Core i9-10900K,10,20,LGA 1200,3.7,5.3,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B086MHSTVD?tag=pcbuilder00-20
290.99,Intel,Core i7-11700KF,8,16,LGA 1200,3.6,5,None,DDR4,3200,https://amazon.com/dp/B08X6NXNX7?tag=pcbuilder00-20
354.97,Intel,Core i9-10900KF,10,20,LGA 1200,3.7,5.3,None,DDR4,2933,https://amazon.com/dp/B086MG1C7D?tag=pcbuilder00-20
549,Intel,Core i9-7920X,12,24,LGA 2066,2.9,4.4,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B0756L5T93?tag=pcbuilder00-20
343.65,Intel,Core i9-10850K,10,20,LGA 1200,3.6,5.2,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B08DHRG2X9?tag=pcbuilder00-20
285,AMD,Ryzen 7 3800X,8,16,AM4,3.9,4.5,None,DDR4,3200,https://amazon.com/dp/B07SXMZLPJ?tag=pcbuilder00-20
549.99,Intel,Core i9-10900X,10,20,LGA 2066,3.7,4.7,None,DDR4,2933,https://amazon.com/dp/B07YP69HTM?tag=pcbuilder00-20
449,Intel,Core i9-11900F,8,16,LGA 1200,2.5,5.5,None,DDR4,3200,https://amazon.com/dp/B08X6KFM3N?tag=pcbuilder00-20
379.99,Intel,Core i9-11900,8,16,LGA 1200,2.5,5.2,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X5XVLL9?tag=pcbuilder00-20
270,AMD,Ryzen Threadripper 1920X,12,24,sTR4,3.5,4,None,DDR4,2667,https://amazon.com/dp/B074CBJHCT?tag=pcbuilder00-20
215,AMD,Ryzen 7 3700X,8,16,AM4,3.6,4.4,None,DDR4,3200,https://amazon.com/dp/B07SXMZLPK?tag=pcbuilder00-20
650,Intel,Core i9-9900X,10,20,LGA 2066,3.5,4.5,None,DDR4,2666,https://amazon.com/dp/B07JDV1MMR?tag=pcbuilder00-20
146,AMD,Ryzen 5 5600,6,12,AM4,3.5,4.4,None,DDR4,3200,https://amazon.com/dp/B09VCHR1VH?tag=pcbuilder00-20
425,Intel,Core i9-7900X,10,20,LGA 2066,3.3,4.3,None,DDR4,2666,https://amazon.com/dp/B072KTSCCS?tag=pcbuilder00-20
273.38,Intel,Core i5-12600,6,12,LGA 1700,3.3,4.8,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09MSLG944?tag=pcbuilder00-20
248.99,Intel,Core i7-11700F,8,16,LGA 1200,2.5,4.9,None,DDR4,3200,https://amazon.com/dp/B08X6V4WTF?tag=pcbuilder00-20
299.65,Intel,Core i7-11700,8,16,LGA 1200,2.5,4.9,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X6QHYDL?tag=pcbuilder00-20
429.99,Intel,Core i9-10900F,10,20,LGA 1200,2.8,5.2,None,DDR4,2933,https://amazon.com/dp/B086MHTK5C?tag=pcbuilder00-20
399.99,Intel,Core i9-10900,10,20,LGA 1200,2.8,5.2,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B086ML4XSD?tag=pcbuilder00-20
550,Intel,Core i9-9820X,10,20,LGA 2066,3.3,4.2,None,DDR4,2666,https://amazon.com/dp/B07KCCH7JL?tag=pcbuilder00-20
248,Intel,Core i5-12500,6,12,LGA 1700,3,4.6,Intel UHD Graphics 770,DDR4,4800,https://amazon.com/dp/B09MSJ29RP?tag=pcbuilder00-20
198.01,Intel,Core i5-11600KF,6,12,LGA 1200,3.9,4.9,None,DDR4,3200,https://amazon.com/dp/B08X62BTJD?tag=pcbuilder00-20
264.99,Intel,Core i5-11600K,6,12,LGA 1200,3.9,4.9,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X67YZBL?tag=pcbuilder00-20
174.44,Intel,Core i5-12400F,6,12,LGA 1700,2.5,4.4,None,DDR5,4800,https://amazon.com/dp/B09NPJRDGD?tag=pcbuilder00-20
293.99,Intel,Core i7-10700K,8,16,LGA 1200,3.8,5.1,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B086ML4XSB?tag=pcbuilder00-20
129.39,AMD,Ryzen 5 5500,6,12,AM4,3.6,4.2,None,DDR4,3200,https://amazon.com/dp/B09VCJ171S?tag=pcbuilder00-20
183.58,Intel,Core i5-12400,6,12,LGA 1700,2.5,4.4,Intel UHD Graphics 730,DDR5,4800,https://amazon.com/dp/B09NMPD8V2?tag=pcbuilder00-20
1989,Intel,Core i9-9900KS,8,16,LGA 1151,4,5,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07YP3J7ZM?tag=pcbuilder00-20
336.47,Intel,Core i7-10700KF,8,16,LGA 1200,3.8,5.1,None,DDR4,2933,https://amazon.com/dp/B0883NG13L?tag=pcbuilder00-20
365.95,AMD,Ryzen 5 3600XT,6,12,AM4,3.8,4.5,None,DDR4,3200,https://amazon.com/dp/B089WC4VWF?tag=pcbuilder00-20
436.99,Intel,Core i9-9900K,8,16,LGA 1151,3.6,5,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B005404P9I?tag=pcbuilder00-20
314.99,Intel,Core i9-9900KF,8,16,LGA 1151,3.6,5,None,DDR4,2666,https://amazon.com/dp/B07MGBZWDZ?tag=pcbuilder00-20
269.47,Intel,Core i5-11600,6,12,LGA 1200,2.8,4.8,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X5XWNTB?tag=pcbuilder00-20
184.44,AMD,Ryzen 5 3600X,6,12,AM4,3.8,4.4,None,DDR4,3200,https://amazon.com/dp/B07SQBFN2D?tag=pcbuilder00-20
625,Intel,Core i7-9800X,8,16,LGA 2066,3.8,4.5,None,DDR4,2666,https://amazon.com/dp/B07JGCSMJX?tag=pcbuilder00-20
